DRG Definition,Total Discharges,Average Covered Charges,Average Total Payments,Average Medicare Payments
039 - EXTRACRANIAL PROCEDURES W/O CC/MCC,35441,31264.03603,7083.893908,5647.516859
057 - DEGENERATIVE NERVOUS SYSTEM DISORDERS W/O MCC,34222,26067.69648,7156.203816,6066.986091
064 - INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W MCC,69430,49798.79555,13622.87546,12436.41872
065 - INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W CC,108586,31671.50961,8072.538467,6834.56091
066 - INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W/O CC/MCC,61050,24335.8439,5758.539902,4477.297314
069 - TRANSIENT ISCHEMIA,81051,22478.719,5145.957854,3991.324142
074 - CRANIAL & PERIPHERAL NERVE DISORDERS W/O MCC,27497,25712.68084,6537.692876,5324.807761
101 - SEIZURES W/O MCC,52646,23366.35478,5854.174619,4743.871747
149 - DYSEQUILIBRIUM,26961,19635.00263,4621.62672,3437.742109
176 - PULMONARY EMBOLISM W/O MCC,40653,27401.93973,7340.655991,6064.495289
177 - RESPIRATORY INFECTIONS & INFLAMMATIONS W MCC,70054,51698.09253,14031.10565,13015.83496
178 - RESPIRATORY INFECTIONS & INFLAMMATIONS W CC,56407,36314.2658,10045.68353,9007.565515
189 - PULMONARY EDEMA & RESPIRATORY FAILURE,102970,32892.56242,8884.739681,7872.693658
190 - CHRONIC OBSTRUCTIVE PULMONARY DISEASE W MCC,143163,31041.76029,8031.948835,6971.532673
191 - CHRONIC OBSTRUCTIVE PULMONARY DISEASE W CC,138337,24992.05652,6640.772129,5635.426885
192 - CHRONIC OBSTRUCTIVE PULMONARY DISEASE W/O CC/MCC,99863,19026.16677,4914.059582,3834.447733
193 - SIMPLE PNEUMONIA & PLEURISY W MCC,131219,38384.09729,10179.05883,9098.390698
194 - SIMPLE PNEUMONIA & PLEURISY W CC,181714,26127.53085,6965.018441,5867.526013
195 - SIMPLE PNEUMONIA & PLEURISY W/O CC/MCC,73764,18825.43391,4860.069993,3713.265563
202 - BRONCHITIS & ASTHMA W CC/MCC,36859,23841.13845,6164.46998,5006.094875
207 - RESPIRATORY SYSTEM DIAGNOSIS W VENTILATOR SUPPORT 96+ HOURS,30497,142964.6275,39150.195,36688.60842
208 - RESPIRATORY SYSTEM DIAGNOSIS W VENTILATOR SUPPORT <96 HOURS,70185,64726.05483,16587.54895,15262.94892
238 - MAJOR CARDIOVASC PROCEDURES W/O MCC,35877,87974.20944,22644.28442,20224.94261
243 - PERMANENT CARDIAC PACEMAKER IMPLANT W CC,32048,69622.03663,18418.01679,16975.96143
244 - PERMANENT CARDIAC PACEMAKER IMPLANT W/O CC/MCC,28164,55931.94891,14261.86149,12708.29996
246 - PERC CARDIOVASC PROC W DRUG-ELUTING STENT W MCC OR 4+ VESSELS/STENTS,30807,97616.97608,23588.66839,21280.88162
247 - PERC CARDIOVASC PROC W DRUG-ELUTING STENT W/O MCC,102282,66021.29729,14573.60021,12016.58834
249 - PERC CARDIOVASC PROC W NON-DRUG-ELUTING STENT W/O MCC,29344,60442.35292,12876.36835,11000.00327
251 - PERC CARDIOVASC PROC W/O CORONARY ARTERY STENT W/O MCC,28204,69918.74465,14705.9894,12331.27808
252 - OTHER VASCULAR PROCEDURES W MCC,36399,89043.59205,23792.38012,22207.43237
253 - OTHER VASCULAR PROCEDURES W CC,39866,73129.8498,18335.86302,16638.51272
254 - OTHER VASCULAR PROCEDURES W/O CC/MCC,28063,51427.70933,12151.62755,10429.07451
280 - ACUTE MYOCARDIAL INFARCTION, DISCHARGED ALIVE W MCC,67100,46760.53392,12369.68152,11319.11097
281 - ACUTE MYOCARDIAL INFARCTION, DISCHARGED ALIVE W CC,47381,30760.04293,7885.984825,6807.088348
282 - ACUTE MYOCARDIAL INFARCTION, DISCHARGED ALIVE W/O CC/MCC,29051,23718.67147,5506.478882,4344.399917
286 - CIRCULATORY DISORDERS EXCEPT AMI, W CARD CATH W MCC,27620,64051.54551,15883.04656,14392.38338
287 - CIRCULATORY DISORDERS EXCEPT AMI, W CARD CATH W/O MCC,108374,36233.86169,7767.158922,6292.34714
291 - HEART FAILURE & SHOCK W MCC,185452,39370.72442,10571.92826,9687.823054
292 - HEART FAILURE & SHOCK W CC,205955,26084.52343,7181.587551,6296.912539
293 - HEART FAILURE & SHOCK W/O CC/MCC,80189,18095.35123,4724.278505,3848.998716
300 - PERIPHERAL VASCULAR DISORDERS W CC,44060,24937.86439,6913.029414,5944.376668
301 - PERIPHERAL VASCULAR DISORDERS W/O CC/MCC,23445,17451.88735,4689.683728,3650.97202
303 - ATHEROSCLEROSIS W/O MCC,32221,17966.48832,4136.866826,3188.171596
305 - HYPERTENSION W/O MCC,32851,18500.6661,4432.288667,3333.333506
308 - CARDIAC ARRHYTHMIA & CONDUCTION DISORDERS W MCC,68161,32881.90952,8909.439416,7796.954696
309 - CARDIAC ARRHYTHMIA & CONDUCTION DISORDERS W CC,107657,22027.59789,5771.112747,4750.800236
310 - CARDIAC ARRHYTHMIA & CONDUCTION DISORDERS W/O CC/MCC,111992,15826.48138,3951.532484,2794.740955
312 - SYNCOPE & COLLAPSE,122921,21707.68768,5285.781591,4177.702882
313 - CHEST PAIN,107224,18505.44175,4003.389316,2951.057095
314 - OTHER CIRCULATORY SYSTEM DIAGNOSES W MCC,53301,50457.3675,14086.02323,12782.1506
315 - OTHER CIRCULATORY SYSTEM DIAGNOSES W CC,25832,26869.1941,7241.597786,6086.89033
329 - MAJOR SMALL & LARGE BOWEL PROCEDURES W MCC,42272,136296.9698,38784.15954,36250.06068
330 - MAJOR SMALL & LARGE BOWEL PROCEDURES W CC,55665,68982.23794,18700.35026,16594.01534
331 - MAJOR SMALL & LARGE BOWEL PROCEDURES W/O CC/MCC,24735,44884.25567,11785.89715,9683.091086
371 - MAJOR GASTROINTESTINAL DISORDERS & PERITONEAL INFECTIONS W MCC,23472,49624.91113,14493.95186,13466.35489
372 - MAJOR GASTROINTESTINAL DISORDERS & PERITONEAL INFECTIONS W CC,36963,30595.41574,8890.95417,8043.806076
377 - G.I. HEMORRHAGE W MCC,55535,47009.00475,12815.77994,11789.12387
378 - G.I. HEMORRHAGE W CC,142075,27217.12094,7165.364244,6106.007003
379 - G.I. HEMORRHAGE W/O CC/MCC,36238,19437.19228,5043.296733,3913.067277
389 - G.I. OBSTRUCTION W CC,54390,25016.55082,6602.706214,5520.136735
390 - G.I. OBSTRUCTION W/O CC/MCC,38946,17963.71001,4572.228676,3363.98901
391 - ESOPHAGITIS, GASTROENT & MISC DIGEST DISORDERS W MCC,48893,33753.54368,8846.379216,7801.371301
392 - ESOPHAGITIS, GASTROENT & MISC DIGEST DISORDERS W/O MCC,217514,21988.71737,5268.357991,4127.21697
394 - OTHER DIGESTIVE SYSTEM DIAGNOSES W CC,47387,27556.55627,7252.362462,6186.019035
418 - LAPAROSCOPIC CHOLECYSTECTOMY W/O C.D.E. W CC,26427,48871.97605,11745.24407,10103.60003
439 - DISORDERS OF PANCREAS EXCEPT MALIGNANCY W CC,28022,27099.98451,7237.150382,5939.881736
460 - SPINAL FUSION EXCEPT CERVICAL W/O MCC,71385,96580.77236,27786.65193,23983.01404
469 - MAJOR JOINT REPLACEMENT OR REATTACHMENT OF LOWER EXTREMITY W MCC,26698,83520.06791,22590.17601,20938.75676
470 - MAJOR JOINT REPLACEMENT OR REATTACHMENT OF LOWER EXTREMITY W/O MCC,432007,52249.24598,14469.79906,12059.43171
473 - CERVICAL SPINAL FUSION W/O CC/MCC,29151,57216.31021,14846.54749,12160.65737
480 - HIP & FEMUR PROCEDURES EXCEPT MAJOR JOINT W MCC,25777,79310.57291,21241.06289,19876.56624
