DRG Definition,Provider Id,Provider Name,Provider Street Address,Provider City,Provider State,Provider Zip Code,Hospital Referral Region (HRR) Description,Total Discharges,Average Covered Charges,Average Total Payments,Average Medicare Payments
039 - EXTRACRANIAL PROCEDURES W/O CC/MCC,340001,CAROLINAS MEDICAL CENTER-NORTHEAST,920 CHURCH ST N,CONCORD,NC,28025,NC - Charlotte,48,26397.16667,7505.708333,4983.645833
039 - EXTRACRANIAL PROCEDURES W/O CC/MCC,340002,MEMORIAL MISSION HOSPITAL AND ASHEVILLE SURGERY CE,509 BILTMORE AVE,ASHEVILLE,NC,28801,NC - Asheville,69,21186.30435,6609.42029,5364.536232
039 - EXTRACRANIAL PROCEDURES W/O CC/MCC,340004,HIGH POINT REGIONAL HOSPITAL,601 N ELM ST  PO BOX HP-5,HIGH POINT,NC,27261,NC - Winston-Salem,19,20899.78947,5973.157895,4943.894737
039 - EXTRACRANIAL PROCEDURES W/O CC/MCC,340014,FORSYTH MEMORIAL HOSPITAL,3333 SILAS CREEK PARKWAY,WINSTON-SALEM,NC,27103,NC - Winston-Salem,22,22852.77273,6416.909091,4695.227273
039 - EXTRACRANIAL PROCEDURES W/O CC/MCC,340017,MARGARET R PARDEE MEMORIAL HOSPITAL,800 N JUSTICE ST,HENDERSONVILLE,NC,28791,NC - Asheville,12,16355.16667,5863.25,5092.583333
039 - EXTRACRANIAL PROCEDURES W/O CC/MCC,340021,CLEVELAND REGIONAL MEDICAL CENTER,201 E GROVER ST,SHELBY,NC,28150,NC - Charlotte,17,26428.76471,6913.588235,4774.764706
039 - EXTRACRANIAL PROCEDURES W/O CC/MCC,340027,LENOIR MEMORIAL HOSPITAL,100 AIRPORT RD,KINSTON,NC,28501,NC - Greenville,22,20331.36364,6389.318182,5344.954545
039 - EXTRACRANIAL PROCEDURES W/O CC/MCC,340028,CAPE FEAR VALLEY MEDICAL CENTER,1638 OWEN DRIVE P O BOX 2000,FAYETTEVILLE,NC,28302,NC - Raleigh,85,25824.31765,7635.470588,5605.388235
039 - EXTRACRANIAL PROCEDURES W/O CC/MCC,340030,DUKE UNIVERSITY HOSPITAL,PO BOX 3708 DUMC  ERWIN RD,DURHAM,NC,27710,NC - Durham,18,32049.44444,9131.388889,7806.833333
039 - EXTRACRANIAL PROCEDURES W/O CC/MCC,340032,GASTON MEMORIAL HOSPITAL,2525 COURT DR,GASTONIA,NC,28052,NC - Charlotte,24,25426.79167,6848.708333,4926.375
039 - EXTRACRANIAL PROCEDURES W/O CC/MCC,340040,VIDANT MEDICAL CENTER,"2100 STANTONSBURG RD, PO BOX 6028",GREENVILLE,NC,27835,NC - Greenville,68,25809.11765,8481.676471,6534.279412
039 - EXTRACRANIAL PROCEDURES W/O CC/MCC,340047,NORTH CAROLINA BAPTIST HOSPITAL,MEDICAL CENTER BOULEVARD,WINSTON-SALEM,NC,27157,NC - Winston-Salem,22,28188.5,8626.954545,6655.590909
039 - EXTRACRANIAL PROCEDURES W/O CC/MCC,340050,SOUTHEASTERN REGIONAL MEDICAL CENTER,300 W 27 ST  PO BOX 1408,LUMBERTON,NC,28359,NC - Durham,43,29605.25581,8960.604651,6280.465116
039 - EXTRACRANIAL PROCEDURES W/O CC/MCC,340053,PRESBYTERIAN HOSPITAL,200 HAWTHORNE LANE BOX 33549,CHARLOTTE,NC,28233,NC - Charlotte,31,34892.19355,6532.451613,5457.225806
039 - EXTRACRANIAL PROCEDURES W/O CC/MCC,340069,"WAKEMED, RALEIGH CAMPUS",3000 NEW BERN AVE,RALEIGH,NC,27610,NC - Raleigh,75,23609.86667,7280.96,5915.36
039 - EXTRACRANIAL PROCEDURES W/O CC/MCC,340070,ALAMANCE REGIONAL MEDICAL CENTER,1240 HUFFMAN MILL RD,BURLINGTON,NC,27216,NC - Durham,17,16093.82353,6053.294118,5306.705882
039 - EXTRACRANIAL PROCEDURES W/O CC/MCC,340073,DUKE HEALTH RALEIGH HOSPITAL,3400 WAKE FOREST RD,RALEIGH,NC,27609,NC - Raleigh,14,24346.71429,5770.785714,4785.071429
039 - EXTRACRANIAL PROCEDURES W/O CC/MCC,340091,"MOSES H CONE MEMORIAL HOSPITAL, THE",1200 N ELM ST,GREENSBORO,NC,27401,NC - Greensboro,67,13556.74627,6375.268657,5289.104478
039 - EXTRACRANIAL PROCEDURES W/O CC/MCC,340109,ALBEMARLE HOSPITAL AUTHORITY,1144 N ROAD ST,ELIZABETH CITY,NC,27909,VA - Norfolk,17,15891.35294,7125.058824,6112.117647
039 - EXTRACRANIAL PROCEDURES W/O CC/MCC,340113,CAROLINAS MEDICAL CENTER/BEHAV HEALTH,1000 BLYTHE BLVD,CHARLOTTE,NC,28203,NC - Charlotte,60,43530.46667,8805.083333,6572.883333
039 - EXTRACRANIAL PROCEDURES W/O CC/MCC,340114,REX HOSPITAL,4420 LAKE BOONE TRAIL,RALEIGH,NC,27607,NC - Raleigh,26,21444.61538,6177.230769,4427.153846
039 - EXTRACRANIAL PROCEDURES W/O CC/MCC,340115,FIRSTHEALTH MOORE REGIONAL HOSPITAL,155 MEMORIAL DRIVE,PINEHURST,NC,28374,NC - Durham,55,16702.78182,6198.163636,5299.181818
039 - EXTRACRANIAL PROCEDURES W/O CC/MCC,340116,FRYE REGIONAL MEDICAL CENTER,420 N CENTER ST,HICKORY,NC,28601,NC - Hickory,50,33502.42,5973.36,4646.64
039 - EXTRACRANIAL PROCEDURES W/O CC/MCC,340131,CAROLINA EAST MEDICAL CENTER,2000 NEUSE BLVD,NEW BERN,NC,28560,NC - Greenville,94,13877.70213,7112.148936,6034.329787
039 - EXTRACRANIAL PROCEDURES W/O CC/MCC,340141,NEW HANOVER REGIONAL MEDICAL CENTER,2131 S 17TH ST BOX 9000,WILMINGTON,NC,28402,NC - Wilmington,65,20369.72308,6872.846154,5795.676923
039 - EXTRACRANIAL PROCEDURES W/O CC/MCC,340143,CATAWBA VALLEY MEDICAL CENTER,810 FAIRGROVE CHURCH RD,HICKORY,NC,28602,NC - Hickory,19,23821.84211,6437,5528.157895
039 - EXTRACRANIAL PROCEDURES W/O CC/MCC,340147,NASH GENERAL HOSPITAL,2460 CURTIS ELLIS DRIVE,ROCKY MOUNT,NC,27804,NC - Raleigh,11,13478.81818,7002.090909,6056.272727
